SPECIES,NAME,BOTNAME,SPECIES_GROUP,OLD_Species_Group,SPECIES_TYPE,NATIVE,SPECIES_FAMILY
AR,Alder,Alnus spp,Alders,,Broadleaf,Yes,Betulaceae
PAR,Armand's pine,Pinus armandii,Pines,Pine,Conifer,No,Pinaceae
AH,Ash,Fraxinus excelsior,Ashes,Ash,Broadleaf,Yes,Oleaceae
ASP,Aspen,Populus tremula,Willows,Poplar,Broadleaf,Yes,Salicaceae
CAT,Atlas cedar,Cedrus atlantica,Cedars,Cedar,Conifer,No,Pinaceae
AUP,Austrian pine,Pinus nigra var nigra,Pines,Pine,Conifer,No,Pinaceae
BE,Beech,Fagus sylvatica,Beeches,Beech,Broadleaf,Yes,Fagaceae
PWA,Bhutan pine,Pinus wallichiana,Pines,Pine,Conifer,No,Pinaceae
AMA,Big leaf maple,Acer macrophyllum,Maples,Maple,Broadleaf,No,Sapindaceae
BIR,Birch (downy/silver),Betula pubescens/pendula,Betula,,Broadleaf,Yes,Betulaceae
BCH,Bird cherry,Prunus padus,Cherries,Cherry,Broadleaf,Yes,Rosaceae
BIP,Bishop pine,Pinus muricata,Pines,Pine,Conifer,No,Pinaceae
BPO,Black poplar,Populus nigra,,,Broadleaf,Yes,Salicaceae
JNI,Black walnut,Juglans nigra,Walnuts,Walnut,Broadleaf,Yes,Juglandaceae
PSP,Blackthorn,Prunus spinosa,Cherries,Cherry,Broadleaf,Yes,Rosaceae
BMF,Bornmuller's fir,Abies bornmuelleriana,Firs,Fir,Conifer,No,Pinaceae
BOX,Box,Buxus spp,Box,Box,Broadleaf,Yes,Buxaceae
PBR,Calabrian pine,Pinus brutia,Pines,Pine,Conifer,No,Pinaceae
LCD,Cedar of lebanon,Cedrus libani,Cedars,Cedar,Conifer,No,Pinaceae
EGU,Cider gum,Eucalyptus gunnii,Eucalypti,Eucalyptus,Broadleaf,No,Myrtaceae
RSQ,Coast redwood,Sequoia sempervirens,Cypresses,Sequoia,Conifer,No,Cupressaceae
CAR,Common alder,Alnus gultinosa,Alders,Alder,Broadleaf,Yes,Betulaceae
CLI,Common lime,Tilia europaea,Limes,Lime,Broadleaf,Yes,Malvaceae
JRE,Common walnut,Juglans regia,Walnuts,Walnut,Broadleaf,Yes,Juglandaceae
CP,Corsican pine,Pinus nigra var maritima,Pines,Pine,Conifer,No,Pinaceae
CAP,Crab apple,Malus sylvestris,Sorbuss,Sorbus,Broadleaf,Yes,Rosaceae
CWL,Crack willow,Salix fragilis,Willows,Willow,Broadleaf,Yes,Salicaceae
CBW,Cricket bat willow,Salix fragilis,Willows,,Broadleaf,Yes,Salicaceae
DF,Douglas fir,Pseudotsuga menziesii,Douglas firs,Fir,Conifer,No,Pinaceae
PBI,Downy birch,Betula pubescens,Birches,Birch,Broadleaf,Yes,Betulaceae
QPU,Downy oak,Quercus pubescens,Oaks,Oak,Broadleaf,No,Fagaceae
EM,Elm,Ulmus spp,Elms,,Broadleaf,Yes,Ulmaceae
EEM,English elm,Ulmus procera,Elms,Elm,Broadleaf,Yes,Ulmaceae
EL,European larch,Larix decidua,Larch,,Conifer,No,Pinaceae
ESF,European silver fir,Abies alba,Firs,Fir,Conifer,No,Pinaceae
FM,Field maple,Acer campestre,Maples,Maple,Broadleaf,Yes,Sapindaceae
GWL,Goat willow,Salix caprea,Willows,Willow,Broadleaf,Yes,Salicaceae
GF,Grand fir,Abies grandis,Firs,Fir,Conifer,No,Pinaceae
GKF,Grecian fir,Abies cephalonica,Firs,Fir,Conifer,No,Pinaceae
VAR,Green alder,Alnus viridis,Alders,Alder,Broadleaf,Yes,Betulaceae
GAR,Grey alder,Alnus incana,Alders,Alder,Broadleaf,Yes,Betulaceae
GPO,Grey poplar,Populus canescens,Willows,Poplar,Broadleaf,Yes,Salicaceae
SCI,Grey willow,Salix cinerea,Willows,Willow,Broadleaf,Yes,Salicaceae
HAW,Hawthorn species,Crataegus monogyna,,,Broadleaf,Yes,
HAZ,Hazel,Corylus avellana,Hazels,Hazel,Broadleaf,Yes,Betulaceae
HOL,Holly species,Ilex aquifolium,,,Broadleaf,Yes,
QIL,Holm oak,Quercus ilex,Oaks,Oak,Broadleaf,Yes,Fagaceae
HBM,Hornbeam,Carpinus betulus,Hornbeams,Birch,Broadleaf,Yes,Betulaceae
HCH,Horse chestnut,Aesculus hippocastanum,Maples,Chestnut,Broadleaf,No,Sapindaceae
QFR,Hungarian oak,Quercus frainetto,Oaks,Oak,Broadleaf,No,Fagaceae
HL,Hybrid larch,Larix x eurolepis,Larch,,Conifer,No,Pinaceae
PO,Hybrid poplar,Populus serotina/trichocarpa,Willows,Poplar,Broadleaf,No,Salicaceae
IAR,Italian alder,Alnus cordata,Alders,Alder,Broadleaf,No,Betulaceae
JCR,Japanese cedar,Cryptomeria japonica,Cypresses,Sequoia,Conifer,No,Cupressaceae
JL,Japanese larch,Larix kaempferi,Larch,,Conifer,No,Pinaceae
PKO,Korean pine,Pinus koreana,Pines,Pine,Conifer,No,Pinaceae
LLI,Large-leaved lime,Tilia platyphyllos,Limes,Lime,Broadleaf,Yes,Malvaceae
LC,Lawson's cypress,Chamaecyparis lawsoniana,Cypresses,Cypress,Conifer,No,Cupressaceae
NPU,Lenga,Nothofagus pumilio,Nothofaguss,Nothofagus,Broadleaf,No,Nothofagaceae
LEC,Leyland cypress,Cupressocyparis leylandii,Cypresses,Cypress,Conifer,No,Cupressaceae
LI,Lime,Tilia spp,,,Broadleaf,Yes,Malvaceae
PTA,Loblolly pine,Pinus taeda,Pines,Pine,Conifer,No,Pinaceae
LP,Lodgepole pine,Pinus contorta,Pines,Pine,Conifer,No,Pinaceae
LPL,London plane,Platanus x acerifolia,Planes,Plane,Broadleaf,Yes,Platanaceae
MCP,Macedonian pine,Pinus peuce,Pines,Pine,Conifer,No,Pinaceae
MAP,Maritime pine,Pinus pinaster,Pines,Pine,Conifer,No,Pinaceae
PAY,Mexican white pine,Pinus ayacahuite,Pines,Pine,Conifer,No,Pinaceae
MB,Mixed broadleaves,,Other broadleaves,,Broadleaf,No,Other broadleaves
MC,Mixed conifers, ,Other conifers,Other conifers,Conifer,No,Other conifers
RAP,Monterey pine,Pinus radiata,Pines,Pine,Conifer,No,Pinaceae
MOP,Mountain pine,Pinus uncinata,Pines,Pine,Conifer,No,Pinaceae
FAN,Narrow-leafed ash,Fraxinus angustifolia,Ashes,Ash,Broadleaf,No,Oleaceae
NBL,Native broadleaves,,,,Broadleaf,Yes,
NF,Noble fir,Abies procera,Firs,Fir,Conifer,No,Pinaceae
NMF,Nordmann fir,Abies nordmanniana,Firs,Fir,Conifer,No,Pinaceae
NOM,Norway maple,Acer platanoides,Maples,Maple,Broadleaf,Yes,Sapindaceae
NS,Norway spruce,Picea abies,Spruces,Spruce,Conifer,No,Pinaceae
OK,Oak (robur/petraea),Quercus spp,Beeches,,Broadleaf,Yes,Fagaceae
FOR,Oriental beech,Fagus orientalis,Beeches,Beech,Broadleaf,No,Fagaceae
ORS,Oriental spruce,Picea orientalis,Spruces,Spruce,Conifer,No,Pinaceae
XBI,Other birches,Betula spp,Birches,Birch,Broadleaf,No,Betulaceae
XB,Other broadleaves,,,,Broadleaf,No,
XCD,Other cedar,Cedrus spp,Cedars,Cedar,Conifer,No,Pinaceae
XHC,Other cherry spp,Prunus spp,,,Broadleaf,,
XC,Other conifers, ,Other conifers,Other conifers,Conifer,No,Other conifers
XEU,Other eucalyptus,other Eucalyptus,Eucalypti,Eucalyptus,Broadleaf,No,Myrtaceae
XF,Other firs (abies),Abies spp,Firs,Fir,Conifer,No,Pinaceae
XL,Other larches,Larix spp,Larch,,Conifer,No,
XNO,Other nothofagus,Nothofagus spp,Nothofaguss,Nothofagus,Broadleaf,No,Nothofagaceae
XOK,Other oak spp,Quercus spp.,,,Broadleaf,No,
XP,Other pines,Pinus spp,Pines,Pine,Conifer,No,Pinaceae
XPO,Other poplar spp,Populus spp,Willows,Poplar,Broadleaf,No,Salicaceae
XS,Other spruces,Picea spp,Spruces,Spruce,Conifer,No,Pinaceae
XWA,Other walnut,Juglans spp,Walnuts,Walnut,Broadleaf,No,Juglandaceae
XWL,Other willows,Salix spp,Willows,Willow,Broadleaf,Yes,Salicaceae
BPA,Paper-bark birch,Betula papyrifera,Birches,Birch,Broadleaf,No,Betulaceae
POK,Pedunculate/common oak,Quercus robur,,,Broadleaf,Yes,
XPL,Plane spp,Platanus spp,Planes,Plane,Broadleaf,Yes,Platanaceae
PDP,Ponderosa pine,Pinus ponderosa,Pines,Pine,Conifer,No,Pinaceae
QPY,Pyrenean oak,Quercus pyrenaica,Oaks,Oak,Broadleaf,No,Fagaceae
RAN,Raoul/rauli,Nothofagus nervosa,Nothofaguss,Nothofagus,Broadleaf,No,Nothofagaceae
RF,Red (pacific silver) fir,Abies amabilis,Firs,Fir,Conifer,No,Pinaceae
RAR,Red alder,Alnus rubra,Alders,Alder,Broadleaf,Yes,Betulaceae
